,x,y
M05_HD26575,8.946144175054885,0.040187605611863284
HD192425,7.5344627112111215,0.01506043568771968
CPD-64_4333,10.16979340446879,0.5975490275820858
HD72673,10.124895617897694,0.007205034678863989
FOMALHAUT,9.987313456772727,0.03881620803186177
Gaia19lbd,9.162806196718694,0.11584311497466429
HD2262,9.516652507341895,0.020379157724654536
GJ_729,9.36068749372922,0.029532912627815523
_NOVA_CEN_2013_,3.8726654512726517,0.0203039788891743
HIP117186,11.396522474167478,0.9899947477346618
HD39918,8.74029459692186,0.015669760196141354
No_name,9.741445736461564,0.08376550328081278
V0470_Sco,9.114993310293649,0.02782587773359429
ALP_ERI,10.40623086590721,0.0686930356674673
HD37258,7.262967622894921,0.07155631030293493
BD+02_2547,5.705759366650412,0.0909468816136869
HD99873,8.880594464816363,0.020099521550645018
